entry_date,exit_date,entry_t,exit_t,entry_price,exit_price,size,fee_entry,fee_exit,pnl,pnl_pct,exit_reason,equity_after_trade
2016-07-28,2016-08-01,162,164,19.0400,17.9000,116.258860,1.1068,1.0405,-134.6826,-6.0844,SL,2079.9930
2016-08-02,2016-08-03,165,166,17.9900,18.8200,115.561622,1.0395,1.0874,93.7892,4.5114,TP,2173.7823
2016-09-01,2016-09-02,187,188,17.4400,18.2400,124.581184,1.0863,1.1362,97.4423,4.4849,TP,2271.2246
2016-09-12,2016-09-13,193,194,17.4900,16.2700,129.793572,1.1350,1.0559,-160.5390,-7.0719,SL,2110.6856
2016-09-14,2016-09-21,195,200,16.6400,17.6500,126.780701,1.0548,1.1188,125.8749,5.9667,TP,2236.5605
2016-09-26,2016-09-28,203,205,17.4400,18.1900,128.179054,1.1177,1.1658,93.8508,4.1983,TP,2330.4113
2016-09-30,2016-10-10,207,213,17.8100,19.0500,130.783083,1.1646,1.2457,159.7607,6.8589,TP,2490.1719
2016-10-13,2016-10-17,215,217,17.7500,18.2400,140.221265,1.2445,1.2788,66.1851,2.6592,TP,2556.3570
2016-11-11,2016-11-18,235,239,25.9800,24.5700,98.347942,1.2775,1.2082,-141.1563,-5.5245,SL,2415.2007
2016-12-02,2016-12-07,249,252,29.4900,31.0300,81.858044,1.2070,1.2700,123.5844,5.1195,TP,2538.7851
2017-01-31,2017-02-01,289,290,32.1800,32.8900,78.853833,1.2688,1.2968,53.4206,2.1052,TP,2592.2058
2017-02-07,2017-02-09,294,296,30.2400,31.0800,85.678252,1.2955,1.3314,69.3428,2.6764,TP,2661.5486
2017-03-15,2017-03-17,318,320,33.3200,31.3000,79.838492,1.3301,1.2495,-163.8534,-6.1594,SL,2497.6953
2017-03-20,2017-03-21,321,322,31.6300,29.0400,78.926560,1.2482,1.1460,-206.8139,-8.2843,SL,2290.8814
2017-03-22,2017-03-29,323,328,29.4000,30.1100,77.882195,1.1449,1.1725,52.9791,2.3138,TP,2343.8604
2017-04-17,2017-04-20,340,343,27.4300,28.0500,85.406090,1.1713,1.1978,50.5825,2.1592,TP,2394.4429
2017-04-27,2017-04-28,347,348,26.8300,27.4700,89.200385,1.1966,1.2252,54.6664,2.2842,TP,2449.1093
2017-05-05,2017-05-15,352,358,26.0500,26.6500,93.968732,1.2239,1.2521,53.9052,2.2021,TP,2503.0145
2017-06-01,2017-06-09,371,377,26.6700,27.3000,93.804411,1.2509,1.2804,56.5654,2.2610,TP,2559.5799
2017-06-15,2017-06-22,381,386,26.1000,27.0200,98.019186,1.2792,1.3242,87.5743,3.4231,TP,2647.1542
2017-07-10,2017-07-25,398,409,29.7100,30.6100,89.055246,1.3229,1.3630,77.4640,2.9278,TP,2724.6182
2017-08-22,2017-08-24,429,431,31.8600,33.8800,85.475721,1.3616,1.4480,169.8514,6.2371,TP,2894.4696
2017-12-14,2017-12-18,511,513,36.2400,37.8400,79.829551,1.4465,1.5104,124.7703,4.3128,TP,3019.2398
2018-02-09,2018-02-14,551,552,42.0000,44.5100,71.850737,1.5089,1.5990,177.2373,5.8732,TP,3196.4772
2018-03-16,2018-04-05,574,587,42.3000,43.2500,75.529073,1.5974,1.6333,68.5219,2.1447,TP,3264.9991
2018-04-10,2018-04-17,590,595,44.8400,45.9300,72.778042,1.6317,1.6713,76.0250,2.3297,TP,3341.0241
2018-04-26,2018-05-09,602,610,48.7000,50.2500,68.569905,1.6697,1.7228,102.8908,3.0812,TP,3443.9149
2018-06-14,2018-06-19,635,638,51.7100,48.3000,66.567277,1.7211,1.6076,-230.3231,-6.6912,SL,3213.5918
2018-06-22,2018-06-28,641,645,48.0100,49.0700,66.902436,1.6060,1.6415,67.6692,2.1068,TP,3281.2611
2018-07-12,2018-07-25,654,663,50.4500,51.7500,65.007358,1.6398,1.6821,81.1876,2.4755,TP,3362.4487
2018-12-19,2019-01-02,763,769,50.0100,51.0900,67.201928,1.6804,1.7167,69.1811,2.0585,TP,3431.6298
2019-01-29,2019-01-30,787,788,42.7400,46.6000,80.250696,1.7150,1.8698,306.1826,8.9268,TP,3737.8125
2019-03-25,2019-03-29,824,828,49.5500,50.9300,75.397468,1.8680,1.9200,100.2606,2.6837,TP,3838.0731
2019-04-04,2019-04-08,832,834,52.1600,53.3900,73.545917,1.9181,1.9633,86.5801,2.2569,TP,3924.6532
2019-04-15,2019-04-16,839,840,51.3300,53.1000,76.421034,1.9613,2.0290,131.2746,3.3465,TP,4055.9278
2019-04-29,2019-05-13,848,857,50.2500,47.4300,80.674644,2.0270,1.9132,-231.4426,-5.7091,SL,3824.4852
2019-05-17,2019-05-27,861,867,47.7200,50.1900,80.104229,1.9113,2.0102,193.9357,5.0734,TP,4018.4209
2019-06-26,2019-07-01,888,891,51.5800,53.6500,77.867634,2.0082,2.0888,157.0890,3.9112,TP,4175.5099
2019-07-29,2019-08-05,910,915,50.2600,46.0000,83.036676,2.0867,1.9098,-357.7327,-8.5717,SL,3817.7772
2019-08-15,2019-08-29,923,933,43.8900,45.1000,86.941658,1.9079,1.9605,101.3309,2.6555,TP,3919.1081
2019-10-03,2019-10-04,958,959,45.4400,46.5900,86.204878,1.9586,2.0081,95.1690,2.4295,TP,4014.2771
2020-02-27,2020-03-02,1055,1057,44.4700,46.3600,90.224216,2.0061,2.0914,166.4262,4.1479,TP,4180.7033
2020-03-04,2020-03-06,1059,1061,48.5700,44.6100,86.032819,2.0893,1.9190,-344.6982,-8.2491,SL,3836.0051
2020-03-09,2020-03-10,1062,1063,37.8300,44.8100,101.350460,1.9170,2.2708,703.2384,18.3417,TP,4539.2435
2020-03-12,2020-03-13,1065,1066,35.3500,42.9000,128.344419,2.2685,2.7530,963.9793,21.2472,TP,5503.2228
2020-03-17,2020-03-18,1068,1069,41.5100,38.6500,132.509583,2.7502,2.5607,-384.2880,-6.9865,SL,5118.9348
2020-03-19,2020-03-23,1070,1072,36.4000,34.1000,140.559792,2.5582,2.3965,-328.2427,-6.4155,SL,4790.6921
2020-04-17,2020-04-29,1090,1097,44.0000,46.7300,108.824954,2.3941,2.5427,292.1552,6.1014,TP,5082.8474
2020-05-05,2020-05-07,1100,1102,43.7000,46.0500,116.254168,2.5402,2.6768,267.9802,5.2749,TP,5350.8276
2020-05-12,2020-05-13,1105,1106,47.4600,48.5400,112.687602,2.6741,2.7349,116.2938,2.1745,TP,5467.1214
2020-05-14,2020-05-18,1107,1109,48.0900,51.2600,113.628388,2.7322,2.9123,354.5573,6.4885,TP,5821.6787
2020-05-25,2020-05-29,1114,1118,50.1000,53.0000,116.143103,2.9094,3.0778,330.8280,5.6855,TP,6152.5067
2020-06-10,2020-06-16,1126,1129,54.2000,55.3900,113.458153,3.0747,3.1422,128.7981,2.0945,TP,6281.3048
2020-06-23,2020-07-08,1134,1145,55.5900,57.3200,112.936962,3.1391,3.2368,189.0050,3.0105,TP,6470.3098
2020-07-17,2020-07-29,1152,1160,61.0400,62.9500,105.948168,3.2335,3.3347,195.7927,3.0275,TP,6666.1026
2020-08-03,2020-08-05,1163,1165,60.2600,62.1900,110.567065,3.3314,3.4381,206.6250,3.1012,TP,6872.7276
2020-09-11,2020-09-22,1191,1198,61.9500,57.8100,110.884469,3.4346,3.2051,-465.7014,-6.7795,SL,6407.0262
2020-09-24,2020-10-07,1200,1209,58.6600,60.1700,109.168501,3.2019,3.2843,158.3580,2.4729,TP,6565.3842
2021-02-01,2021-02-08,1284,1289,91.2700,94.0100,71.897703,3.2811,3.3796,190.3395,2.9006,TP,6755.7237
2021-02-10,2021-02-18,1291,1295,94.7000,97.4000,71.302510,3.3762,3.4724,185.6685,2.7497,TP,6941.3922
2021-02-22,2021-02-24,1297,1299,95.3500,97.9300,72.762699,3.4690,3.5628,180.6961,2.6045,TP,7122.0883
2021-03-04,2021-03-22,1305,1317,98.8600,93.2100,72.006160,3.5593,3.3558,-413.7500,-5.8123,SL,6708.3383
2021-03-24,2021-03-26,1319,1321,93.1500,95.5300,71.980522,3.3525,3.4381,164.5228,2.4537,TP,6872.8611
2021-05-05,2021-05-06,1347,1348,110.7100,115.0500,62.048834,3.4347,3.5694,262.2881,3.8182,TP,7135.1492
2021-06-28,2021-06-30,1384,1386,110.6000,113.2500,64.480863,3.5658,3.6512,163.6574,2.2948,TP,7298.8065
2021-07-12,2021-07-30,1393,1407,115.0700,108.7600,63.397575,3.6476,3.4476,-407.1337,-5.5809,SL,6891.6728
2021-09-01,2021-09-15,1430,1439,98.8500,91.7400,69.683650,3.4441,3.1964,-502.0913,-7.2891,SL,6389.5815
2021-09-20,2021-09-22,1442,1444,82.7500,87.1100,77.176899,3.1932,3.3614,329.9367,5.1662,TP,6719.5182
2021-10-20,2021-10-29,1463,1470,76.6700,71.6100,87.598282,3.3581,3.1365,-449.7416,-6.6964,SL,6269.7766
2021-11-01,2021-11-03,1471,1472,72.3200,66.8300,86.651594,3.1333,2.8955,-481.7459,-7.6875,SL,5788.0308
2021-11-05,2021-11-08,1474,1475,64.1100,67.6000,90.237687,2.8926,3.0500,308.9867,5.3410,TP,6097.0175
2021-11-29,2021-12-02,1489,1492,69.5000,73.4900,87.683029,3.0470,3.2219,343.5862,5.6381,TP,6440.6037
2022-03-15,2022-03-16,1561,1562,88.9700,91.1300,72.354557,3.2187,3.2968,149.7700,2.3266,TP,6590.3737
2022-04-25,2022-04-27,1588,1590,79.0800,82.1700,83.296409,3.2935,3.4222,250.6698,3.8055,TP,6841.0435
2022-05-30,2022-06-02,1613,1616,86.6500,89.9000,78.910844,3.4188,3.5470,249.4944,3.6488,TP,7090.5379
2022-06-20,2022-06-27,1627,1632,75.5000,78.0500,93.867476,3.5435,3.6632,232.1557,3.2758,TP,7322.6936
2022-07-15,2022-07-25,1646,1652,68.3700,70.4900,107.050370,3.6595,3.7730,219.5138,2.9992,TP,7542.2074
2022-08-15,2022-08-16,1667,1668,68.3000,69.8200,110.372442,3.7692,3.8531,160.1434,2.1244,TP,7702.3508
2022-10-27,2022-10-31,1718,1720,70.9100,67.1300,108.567214,3.8493,3.6441,-417.8781,-5.4280,SL,7284.4727
2022-11-01,2022-11-04,1721,1723,69.1700,72.2500,105.259975,3.6404,3.8025,316.7580,4.3506,TP,7601.2307
2022-11-17,2022-11-30,1731,1740,83.1000,85.7100,91.425176,3.7987,3.9180,230.9030,3.0392,TP,7832.1337
2022-12-09,2023-01-02,1747,1762,88.7400,89.4000,88.215233,3.9141,3.9432,50.3650,0.6434,TIME,7882.4988
2023-01-03,2023-01-06,1763,1766,89.2400,92.3400,88.285070,3.9393,4.0761,265.6682,3.3720,TP,8148.1669
2023-01-27,2023-02-02,1781,1785,95.3200,89.1400,85.439519,4.0720,3.8080,-535.8963,-6.5802,SL,7612.2706
2023-02-23,2023-03-01,1798,1802,86.9500,89.2000,87.503929,3.8042,3.9027,189.1769,2.4864,TP,7801.4475
2023-03-08,2023-03-15,1807,1812,86.1100,81.4500,90.553347,3.8988,3.6878,-429.5655,-5.5090,SL,7371.8820
2023-03-21,2023-04-04,1816,1826,82.7100,78.0400,89.084730,3.6841,3.4761,-423.1857,-5.7434,SL,6948.6963
2023-04-20,2023-04-25,1837,1839,74.6600,70.0000,93.024690,3.4726,3.2559,-440.2239,-6.3385,SL,6508.4725
2023-05-18,2023-05-24,1855,1859,69.9800,65.0500,92.958267,3.2526,3.0235,-464.5604,-7.1413,SL,6043.9121
2023-06-26,2023-07-13,1881,1894,66.0400,68.6100,91.473222,3.0204,3.1380,228.9277,3.7896,TP,6272.8398
2023-07-17,2023-07-24,1896,1901,67.8500,69.8500,92.405381,3.1349,3.2273,178.4487,2.8462,TP,6451.2885
2023-07-28,2023-07-31,1905,1906,67.6300,69.1600,95.343260,3.2240,3.2970,139.3548,2.1612,TP,6590.6433
2023-08-07,2023-08-14,1911,1916,67.9000,61.9000,97.015456,3.2937,3.0026,-588.3890,-8.9321,SL,6002.2542
2023-08-23,2023-08-29,1923,1927,63.0400,64.9700,95.165839,2.9996,3.0915,177.5790,2.9600,TP,6179.8332
2023-09-01,2023-09-25,1930,1945,68.8900,66.6000,89.660980,3.0884,2.9857,-211.3978,-3.4225,TIME,5968.4354
2023-09-27,2023-09-29,1947,1949,65.7000,67.5800,90.798371,2.9827,3.0681,164.6506,2.7601,TP,6133.0860
2023-10-05,2023-10-11,1953,1957,65.9000,67.3600,93.020043,3.0650,3.1329,129.6113,2.1144,TP,6262.6973
2023-10-24,2023-10-27,1965,1968,63.9900,67.5700,97.821024,3.1298,3.3049,343.7644,5.4918,TP,6606.4617
2023-12-07,2023-12-18,1995,2002,72.6000,74.2100,90.952620,3.3016,3.3748,139.7574,2.1165,TP,6746.2191
2024-02-29,2024-03-12,2050,2058,66.9900,60.8400,100.654543,3.3714,3.0619,-625.4585,-9.2759,SL,6120.7605
